signal_id,subsystem,direction,mesa_card,connector,pin_channel,hal_net,field_point_or_load,authority_status,primary_source,cleanup_notes,dest_connector,dest_pin,factory_wire
SPINDLE_SPEED_CMD,Spindle,ANALOG_OUT,7i49,P2 Analog TB,AOUT3,spindle-speed-cmd,FR-SX V-IN speed reference,COMMISSIONING_PENDING,motion_7i80hdt.hal,"Confirm 0-10V unipolar vs bipolar; pwmgen.03 offset-mode | [RECON 2026-08-08 §D: FR-SX SE1/SE2/SE3 0-10V speed ref (+10V max speed)] | [FIRST-POWER 2026-08-09: factory wiring at BBIA1/7i49 - no cabinet trace. Confirm 0-10V unipolar scaling / offset-mode (see C3); direction is separate SRN/SRI, not command sign.] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/spindle_run_ladder_transcription.md]",,,
AOUT4_SPARE,Spare,ANALOG_OUT,7i49,P2 Analog TB,AOUT4,none,Spare 7i49 analog output,SPARE,frsx_orient_model.md,FR-SX orient is a discrete ORCM1 command; num_pwmgens=4 creates only pwmgen.00-.03 so AOUT4 is not provisioned in active firmware config,,,
AOUT5_SPARE,Spare,ANALOG_OUT,7i49,P2 Analog TB,AOUT5,none,Spare 7i49 analog output,SPARE,mesa_firmware_checklist.md,Available for future analog use,,,
SSERIAL_PORT0_TXA,Field I/O,LINK,7i44,P1 7i44 physical channel 0,port0.TX+,none,7i84U-A RJ45 pin 2 RX+,FACTORY_LINK,mesa_firmware_checklist.md,"7i44 channel 0 to 7i84U-A CN0 under HostMot2 port 0; RS-422 differential pair | [MESA-CONFIRMED 2026-08-08: matches 7i84U J1 RJ-45 pinout (7i84uman.pdf: p1 RXA/p2 RXB/p3 TXA/p6 TXB/p4-5 GND/p7-8 +5V, 568B colors); straight CAT5 to 7i44; plug-in cable, no continuity trace needed] | [READY 2026-08-09: factory-link acceptance applies to two distinct plug-in segments: Mesa 50-pin IDC from 7i80HDT P1 to 7i44, then CAT5 smart-serial from 7i44 to the identified 7i84U channel. Inspect assembly identity, keying/orientation, seating, strain relief, and visible condition; verify expected smart-serial enumeration without communication or watchdog faults. Do not continuity-audit or re-terminate individual conductors.]",7i84U-A RJ45,2,
SSERIAL_PORT0_TXB,Field I/O,LINK,7i44,P1 7i44 physical channel 0,port0.TX-,none,7i84U-A RJ45 pin 1 RX-,FACTORY_LINK,mesa_firmware_checklist.md,"RS-422 differential pair | [MESA-CONFIRMED 2026-08-08: matches 7i84U J1 RJ-45 pinout (7i84uman.pdf: p1 RXA/p2 RXB/p3 TXA/p6 TXB/p4-5 GND/p7-8 +5V, 568B colors); straight CAT5 to 7i44; plug-in cable, no continuity trace needed] | [READY 2026-08-09: factory-link acceptance applies to two distinct plug-in segments: Mesa 50-pin IDC from 7i80HDT P1 to 7i44, then CAT5 smart-serial from 7i44 to the identified 7i84U channel. Inspect assembly identity, keying/orientation, seating, strain relief, and visible condition; verify expected smart-serial enumeration without communication or watchdog faults. Do not continuity-audit or re-terminate individual conductors.]",7i84U-A RJ45,1,
SSERIAL_PORT0_RXA,Field I/O,LINK,7i44,P1 7i44 physical channel 0,port0.RX+,none,7i84U-A RJ45 pin 6 TX+,FACTORY_LINK,mesa_firmware_checklist.md,"RS-422 differential pair | [MESA-CONFIRMED 2026-08-08: matches 7i84U J1 RJ-45 pinout (7i84uman.pdf: p1 RXA/p2 RXB/p3 TXA/p6 TXB/p4-5 GND/p7-8 +5V, 568B colors); straight CAT5 to 7i44; plug-in cable, no continuity trace needed] | [READY 2026-08-09: factory-link acceptance applies to two distinct plug-in segments: Mesa 50-pin IDC from 7i80HDT P1 to 7i44, then CAT5 smart-serial from 7i44 to the identified 7i84U channel. Inspect assembly identity, keying/orientation, seating, strain relief, and visible condition; verify expected smart-serial enumeration without communication or watchdog faults. Do not continuity-audit or re-terminate individual conductors.]",7i84U-A RJ45,6,
SSERIAL_PORT0_RXB,Field I/O,LINK,7i44,P1 7i44 physical channel 0,port0.RX-,none,7i84U-A RJ45 pin 3 TX-,FACTORY_LINK,mesa_firmware_checklist.md,"RS-422 differential pair | [MESA-CONFIRMED 2026-08-08: matches 7i84U J1 RJ-45 pinout (7i84uman.pdf: p1 RXA/p2 RXB/p3 TXA/p6 TXB/p4-5 GND/p7-8 +5V, 568B colors); straight CAT5 to 7i44; plug-in cable, no continuity trace needed] | [READY 2026-08-09: factory-link acceptance applies to two distinct plug-in segments: Mesa 50-pin IDC from 7i80HDT P1 to 7i44, then CAT5 smart-serial from 7i44 to the identified 7i84U channel. Inspect assembly identity, keying/orientation, seating, strain relief, and visible condition; verify expected smart-serial enumeration without communication or watchdog faults. Do not continuity-audit or re-terminate individual conductors.]",7i84U-A RJ45,3,
SSERIAL_PORT0_GND,Field I/O,LINK,7i44,P1 7i44 physical channel 0,port0.GND,none,7i84U-A RJ45 pin 4/5 ground,FACTORY_LINK,mesa_firmware_checklist.md,"Factory-link signal ground; cable construction is not field-modified | [MESA-CONFIRMED 2026-08-08: matches 7i84U J1 RJ-45 pinout (7i84uman.pdf: p1 RXA/p2 RXB/p3 TXA/p6 TXB/p4-5 GND/p7-8 +5V, 568B colors); straight CAT5 to 7i44] | [READY 2026-08-09: two distinct plug-in segments: Mesa 50-pin IDC from 7i80HDT P1 to 7i44, then CAT5 smart-serial from 7i44 channel 0 to 7i84U-A. Inspect assembly identity, keying/orientation, seating, strain relief, and visible condition; verify expected smart-serial enumeration without communication or watchdog faults. Do not continuity-audit or re-terminate individual conductors.]",7i84U-A RJ45,4/5,
SSERIAL_PORT0_5V,Field I/O,LINK,7i44,P1 7i44 physical channel 0,port0.+5V,none,7i84U-A RJ45 pin 7/8 +5V,FACTORY_LINK,mesa_firmware_checklist.md,"Serial power for 7i84U-A logic | [MESA-CONFIRMED 2026-08-08: matches 7i84U J1 RJ-45 pinout (7i84uman.pdf: p1 RXA/p2 RXB/p3 TXA/p6 TXB/p4-5 GND/p7-8 +5V, 568B colors); straight CAT5 to 7i44; plug-in cable, no continuity trace needed] | [READY 2026-08-09: factory-link acceptance applies to two distinct plug-in segments: Mesa 50-pin IDC from 7i80HDT P1 to 7i44, then CAT5 smart-serial from 7i44 to the identified 7i84U channel. Inspect assembly identity, keying/orientation, seating, strain relief, and visible condition; verify expected smart-serial enumeration without communication or watchdog faults. Do not continuity-audit or re-terminate individual conductors.]",7i84U-A RJ45,7/8,
SSERIAL_PORTS_2_7_SPARE,Expansion,LINK,7i44,P1 7i44 physical channels 2-7,ports2-7,none,Spare smart-serial channels,SPARE,mesa_firmware_checklist.md,"7i44 has 8 RS-422 physical channels; channels 0/1 = 7i84U-A/B within HostMot2 port 0; channels 2-7 remain spare for MPG pendant, 4th-axis card, or additional 7i84 expansion.",,,
SEVENI84U_FIELD_A_24V,Power,POWER,7i84U-A,TB1,"TB1 pins 3/4 VFIELDA (+24 V field power, 5-28 VDC)",none,Field power bank A (TB3 I/O),PROPOSED,Mesa 7i84U manual pp.2/7-8/47,Both terminals are VFIELDA; powers TB3 outputs 0-7 and inputs 0-15. Never connect either pin to 0 V.,TB3,,
SEVENI84U_FIELD_B_24V,Power,POWER,7i84U-A,TB1,"TB1 pins 1/2 VFIELDB (+24 V field power, 5-28 VDC)",none,Field power bank B (TB2 I/O),PROPOSED,Mesa 7i84U manual pp.2/7-8/47,Both terminals are VFIELDB; powers TB2 outputs 8-15 and inputs 16-31. Never connect either pin to 0 V.,TB2,,
ATC_ZONE_Y,ATC interlock,IN,7i84U-A,TB3,IN0,atc-y-zone,PRS-55 Y ATC zone,FACTORY_INTERFACE,archived_wiring_map,"Update field_7i84u.hal because it currently uses input-02 | [RECON 2026-08-08 §F: PRS-55 (+Y 2nd, +LY2) confirmed by Dwg 4143075409 (Motion Switch Input 3)] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md]",CN3,44,+LY2
ATC_ZONE_Z,ATC interlock,IN,7i84U-A,TB3,IN1,atc-z-zone,PRS-66 Z ATC zone,FACTORY_INTERFACE,archived_wiring_map,"Update field_7i84u.hal because it currently uses input-03 | [RECON 2026-08-08 §F: PRS-66 (-Z 2nd, -LZ2) confirmed by Dwg 4143075409 (Motion Switch Input 3)] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md]",CN3,39,-LZ2
MAG_TOOL_AVAILABLE,ATC interlock,IN,7i84U-A,TB3,IN2,mag-tool-avail,PHS-181 magazine tool available,FACTORY_INTERFACE,phase2_plan,Add HAL net when confirmed | [RECON 2026-08-08 §F: PHS-181 line 381 (settles PHS-127 vs 181) confirmed by Dwg 4143075409 (Motion Switch Input 3)] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md],CN2,13,381
SPINDLE_TOOL_AVAILABLE,ATC interlock,IN,7i84U-A,TB3,IN3,spindle-tool-avail,PHS-182 spindle tool available,FACTORY_INTERFACE,phase2_plan,Add HAL net when confirmed | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md],CN6,50,382
SPINDLE_ORIENT_ARRIVAL,Spindle,IN,7i84U-A,TB3,IN4,spindle-oriented,FR-SX orient arrival (PLC X003 ORA1),FACTORY_INTERFACE,element_list_crosswalk_2026-07-27,ATC cannot cycle without orient; confirm FR-SX terminal and polarity | [RECON 2026-08-08 §A: element list confirms X003 ORA1 'ORIENT ARRIVAL' (ladder 3006/4810/5509) on 060231] | [RECON 2026-08-08 §D: FR-SX OBA1(t22)/OBA2(t23) -> CN4-16/CN4-17 (digits verify)] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/spindle_run_ladder_transcription.md],CN4,16,SETA
SPINDLE_ZERO_SPEED,Spindle safety,IN,7i84U-A,TB3,IN5,spindle-zero-speed,FR-SX zero-speed output (PLC X001 SZS.M),FACTORY_INTERFACE,element_list_crosswalk_2026-07-27,"Distinct from IN13 speed-reach; gear shift interlock needs zero-speed | [RECON 2026-08-08 §A: element list confirms X001 SZS.M 'SPINDLE ZERO SPEED' on 060231] | [RECON 2026-08-08 §D: FR-SX ESL1(t3)/ES2(t4) -> CN4-1/CN4-2 (digits verify)] | [LOCATED 2026-08-08: X01 SZS.M wire 143 T.U CN3-4, Dwg 4143075407 pg133] | [PINOUT-RECONCILED 2026-08-09: BBIA-1 board = wire 231, CN4-1 (matches the FR-SX CON1->CN4 reading in the D-section; supersedes the pg133 'wire 143 / CN3-4' LOCATED note).] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/spindle_run_ladder_transcription.md]",CN4,1,231
MAG_COVER_OPEN_CONF,Magazine,IN,7i84U-A,TB3,IN6,mag-cover-open-conf,Magazine cover open reed switch (PLC X052 MGCORS),FACTORY_INTERFACE,element_list_crosswalk_2026-07-27,"Pairs with NET_MAG_COVER_OPEN/CLOSE solenoids; locate RS on cover | [RECON 2026-08-08 §A/§F: X052 MGCORS + RS-18 line 218 (Dwg 4143075409) confirm on 060231] | [LOCATED 2026-08-08: RS-18 wire 218 MGCORS X52, Dwg 4143075409 pg135] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md]",CN2,11,218
MAG_COVER_CLOSE_CONF,Magazine,IN,7i84U-A,TB3,IN7,mag-cover-closed-conf,Magazine cover close reed switch (PLC X053 MGCCRS),FACTORY_INTERFACE,element_list_crosswalk_2026-07-27,"Interlock magazine rotation on cover closed | [RECON 2026-08-08 §A/§F: X053 MGCCRS + RS-19 line 219 (Dwg 4143075409) confirm on 060231] | [LOCATED 2026-08-08: RS-19 wire 219 MGCCRS X53, Dwg 4143075409 pg135] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md]",CN2,12,219
THERMAL_ALARM_CHAIN,Machine safety,IN,7i84U-A,TB3,IN8,thermal-alarm,Motor thermal trip + main transformer overheat in series (PLC X073 THR.M + X07B ONT.M),FACTORY_INTERFACE,element_list_crosswalk_2026-07-27 + open_issues.md §3 (2026-08-03),"Series-wired NC X073 THR.M + X07B ONT.M; alarm-only, not in E-stop chain; field continuity and polarity remain unverified. | [RECON 2026-08-08 §A: element list confirms X073 THR.M + X07B ONT.M — two NC signals, series on 060231] | [LOCATED 2026-08-08: X73 THR.M (T.U CN5-1, TB1; motor thermal + circuit protector trip) series-NC X7B ONT.M (T.U CN5-3, OHT; main transformer overheat), Dwg 4143075407 pg133] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/estop_ladder_transcription.md]",CN5,1,144
MANUAL_TOOL_UNCLAMP_PB,ATC tool,IN,7i84U-A,TB3,IN9,manual-unclamp-pb,Manual tool unclamp FOOT switch (PLC X01A TUCFS.M),FACTORY_INTERFACE,element_list_crosswalk_2026-07-27,"Commissioning aid; pairs with MANUAL_TOOL_CLAMP_PB on IN30 (TCFS X01B reinstated 2026-08-03 after single-7i84U plan freed pins). | [RECON 2026-08-08 §A: element list confirms X01A TUCFS.M 'MNL TOOL UNCLAMP FS (VQC20)' on 060231] | [RECON 2026-08-08: FOOT switch confirmed (owner + mnemonic TUCFS=Tool UnClamp Foot Switch); BBIA1 wire 149 'TOOL UNCLAMP (FOOT SW)' 7-23] | [LOCATED 2026-08-08: X1A TUCF.M foot switch, wire 149A, T.U CN2-3, Dwg 4143075407 pg133] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md]",CN2,3,149
SERVO_FAULT,Drive safety,IN,7i84U-A,TB3,IN10,servo-fault,Combined servo alarm (SER) shared by X/Y/Z at CN6-27,FACTORY_INTERFACE,archived_wiring_map,Owner decision 2026-08-11 (AG): OEM SER is ONE combined servo-error contact for all axes (only one SER line on the 50-pin CN6) not per-axis; IN10 fans out to all three joint amp-faults; IN11/IN12 freed to spare. Bench-verify HD81/HD101 ALM polarity before enabling | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/estop_ladder_transcription.md],CN6,27,SER
SEVENI84UA_IN11_SPARE,Spare,IN,7i84U-A,TB3,IN11,none,Spare — freed 2026-08-11 when servo ALM consolidated to the single combined SER line on IN10 (owner decision AG),SPARE,archived_wiring_map,Was Y_DRIVE_FAULT; no separate per-axis servo alarm exists (single CN6-27 SER). Available for reuse,,,
SEVENI84UA_IN12_SPARE,Spare,IN,7i84U-A,TB3,IN12,none,Spare — freed 2026-08-11 when servo ALM consolidated to the single combined SER line on IN10 (owner decision AG),SPARE,archived_wiring_map,Was Z_DRIVE_FAULT; no separate per-axis servo alarm exists (single CN6-27 SER). Available for reuse,,,
SPINDLE_AT_SPEED,Spindle safety,IN,7i84U-A,TB3,IN13,spindle-at-speed,No factory FR-SX at-speed terminal — derive in LinuxCNC HAL,DEFERRED,archived_wiring_map,"Confirm VFD terminal and polarity | [RECON 2026-08-08: spindle-drive sheet Dwg 4143075403 shows only zero-speed/controller-normal/orient-arrival; NO discrete at-speed output. Derive at-speed in HAL (commanded-vs-actual threshold). Do NOT wire.] | [RECON 2026-08-08 follow-up: status COMMISSIONING_PENDING -> DEFERRED; no field wire, derived in HAL] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/spindle_run_ladder_transcription.md]",,,
SPINDLE_FAULT,Spindle safety,IN,7i84U-A,TB3,IN14,spindle-fault,FR-SX fault output,FACTORY_INTERFACE,archived_wiring_map,Confirm VFD terminal and polarity | [RECON 2026-08-08 §D: FR-SX FA(t11)/FC(t12) 'controller normal' -> CN4-3/CN4-4 (digits verify)] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/spindle_run_ladder_transcription.md],CN4,3,FA
TOOL_CLAMP_CONF,ATC tool,IN,7i84U-A,TB3,IN15,tool-clamped,PRS-9 tool clamp confirm,FACTORY_INTERFACE,archived_wiring_map,Update field_7i84u.hal because it currently uses input-00 | [RECON 2026-08-08 §F: PRS-9 line 209 TCPRS confirmed by Dwg 4143075409 (Motion Switch Input 3)] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md],CN1,2,209
TOOL_UNCLAMP_CONF,ATC tool,IN,7i84U-A,TB2,IN16,tool-unclamped,PRS-8 tool unclamp confirm,FACTORY_INTERFACE,archived_wiring_map,Update field_7i84u.hal because it currently uses input-01 | [RECON 2026-08-08 §F: PRS-8 line 208 TUCPRS confirmed by Dwg 4143075409 (Motion Switch Input 3)] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md],CN1,1,208
GEAR_HI_CONF,Spindle gear,IN,7i84U-A,TB2,IN17,gear-hi-conf,PRS-10 gear high confirm,FACTORY_INTERFACE,archived_wiring_map,Add HAL net when confirmed | [RECON 2026-08-08 §F: PRS-10 line 210 HGPRS = HIGH gear confirmed by Dwg 4143075409 (Motion Switch Input 3)] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/orient_ladder_transcription.md],CN1,3,210
GEAR_LO_CONF,Spindle gear,IN,7i84U-A,TB2,IN18,gear-lo-conf,PRS-12 gear low confirm,FACTORY_INTERFACE,archived_wiring_map,Add HAL net when confirmed | [RECON 2026-08-08 §F: PRS-12 line 212 LGPRS = LOW gear confirmed by Dwg 4143075409 (Motion Switch Input 3)] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/orient_ladder_transcription.md],CN1,4,212
MAG_BCD_BIT0,Magazine,IN,7i84U-A,TB2,IN19,mag-bcd-bit0,PRS-21 magazine BCD bit 0,FACTORY_INTERFACE,archived_wiring_map,"Decode with bcd2s or custom mux | [RECON 2026-08-08 §F: PRS-21 line 221 confirmed by Dwg 4143075409 (Motion Switch Input 3)] | [PINOUT-RECONCILED 2026-08-09: BBIA-1 board = MAGAZINE ROT POS 1, wire 150, CN2-4/CND2-4 (trusted over pg135 'wire 221' - that wire is BIT1 on the board).] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md]",CN2,4,150
MAG_BCD_BIT1,Magazine,IN,7i84U-A,TB2,IN20,mag-bcd-bit1,PRS-22 magazine BCD bit 1,FACTORY_INTERFACE,archived_wiring_map,"Decode with bcd2s or custom mux | [RECON 2026-08-08 §F: PRS-22 line 222 confirmed by Dwg 4143075409 (Motion Switch Input 3)] | [PINOUT-RECONCILED 2026-08-09: BBIA-1 board = MAGAZINE ROT POS 2, wire 221, CN2-5/CND2-5 (trusted over pg135 'wire 222').] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md]",CN2,5,221
MAG_BCD_BIT2,Magazine,IN,7i84U-A,TB2,IN21,mag-bcd-bit2,PRS-23 magazine BCD bit 2,FACTORY_INTERFACE,archived_wiring_map,"Decode with bcd2s or custom mux | [RECON 2026-08-08 §F: PRS-23 line 223 confirmed by Dwg 4143075409 (Motion Switch Input 3)] | [PINOUT-RECONCILED 2026-08-09: BBIA-1 board = MAGAZINE ROT POS 4, wire 222, CN2-6/CND2-6 (trusted over pg135 'wire 223').] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md]",CN2,6,222
MAG_BCD_BIT3,Magazine,IN,7i84U-A,TB2,IN22,mag-bcd-bit3,PRS-24 magazine BCD bit 3,FACTORY_INTERFACE,archived_wiring_map,"Decode with bcd2s or custom mux | [RECON 2026-08-08 §F: PRS-24 line 224 confirmed by Dwg 4143075409 (Motion Switch Input 3)] | [PINOUT-RECONCILED 2026-08-09: BBIA-1 board = MAGAZINE ROT POS 8, wire 223, CN2-7/CND2-7 (trusted over pg135 'wire 224').] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md]",CN2,7,223
MAG_BCD_BIT4,Magazine,IN,7i84U-A,TB2,IN23,mag-bcd-bit4,PRS-25 magazine BCD bit 4,FACTORY_INTERFACE,archived_wiring_map,"Decode with bcd2s or custom mux | [RECON 2026-08-08 §F: PRS-25 line 225 confirmed by Dwg 4143075409 (Motion Switch Input 3)] | [PINOUT-RECONCILED 2026-08-09: BBIA-1 board = MAGAZINE ROT POS 10, wire 224, CN2-8/CND2-8 (trusted over pg135 'wire 225'). NB: the field PRS-nn labels are pg135 PLC-side identities and may not match the board bit order - physical wire label is final.] | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/atc_ladder_transcription.md]",CN2,8,224
DOOR_INTERLOCK,Safety,IN,7i84U-A,TB2,IN24,door-interlock,Door interlock switches series (LS-141 + LS-140 + PLC X01D ITMDSS.M all in one chain),FACTORY_INTERFACE,archived_wiring_map + open_issues.md §3 (2026-08-03),Series-wired 2026-08-03: X01D ITMDSS consolidated with LS-140/141 pair. Choose door-open versus door-closed net after normal state is measured. | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/estop_ladder_transcription.md],CN2,38,238
LUBE_OK,Utility,IN,7i84U-A,TB2,IN25,lube-ok,PS-5 head-lube pressure switch wire 355 (PLC X079 HLP.M),FACTORY_INTERFACE,Dwg 4143075338 pg100 + Dwg 4143075407 pg133 + owner machine confirmation 2026-08-09,"One physical head-lube pressure switch only: PS-5 wire 355 = X079 HLP.M. Owner confirmed on the machine 2026-08-09. X042 HLP2.M exists in the generic element list but has no second physical switch on SN 060231 and is not part of LUBE_OK. Land IN25 from PS-5 alone. Verify normal-state polarity and fail-open behavior before commissioning. | [2026-08-13 PHYSICALLY CONFIRMED: photo shows the device's stamped 'PS 5' tag with wire 355 and G24 return attached - device tag, wire number and CN6-39 now agree across machine, BBIA-1 pinout and this row. G24 is the OEM 24V common, so this input MUST cross the interposing-relay boundary. Contact form and trip pressure still unverified. Status promotion recommended pending owner approval. See wiring/head_valve_hardware.md]",CN6,39,355
COOLANT_LOW,Coolant,IN,7i84U-A,TB2,IN26,coolant-low,Coolant level switch,FACTORY_INTERFACE,archived_wiring_map,Net name follows HAL (polarity assumption: low = warning). Verify normal-state polarity in cabinet before promoting. | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/coolant_ladder_transcription.md],CN1,5,232
HYD_PRESS_OK,Hydraulic safety,IN,7i84U-A,TB2,IN27,hydraulic-ok,Sanwa SPS-8T-PC-20 pressure switch,FACTORY_INTERFACE,phase2_plan,This supersedes stale signal_map.csv TB5 IN16 row | [LADDER-REF 2026-08-10 (approved AG): docs/ladder/estop_ladder_transcription.md],,,
CYCLE_START_PB,Panel,IN,none,none,none,cycle-start-pb,Operator cycle start pushbutton,DEFERRED,archived_wiring_map,Displaced 2026-07-27: IN28 reclaimed for MAG_IN_POS (mandatory ATC input). Pendant WHB04B is the current cycle-start path; no 7i84U-B terminal is assigned unless the physical panel button is deliberately restored to scope.,,,
